1587695006462|6|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,name,order_no,remark  FROM check_sheet|SELECT  id,name,order_no,remark  FROM check_sheet
1587709757405|8|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,name,order_no,remark  FROM check_sheet|SELECT  id,name,order_no,remark  FROM check_sheet
1587711457143|7|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT             check_entry.id,             check_entry.sheet_id,             check_entry.`name`,             check_entry.frequency,             check_entry.department,             check_entry.object_type_id,             check_entry.order_no,             object_type.`name` object_type_name         FROM             check_entry                 INNER JOIN object_type ON check_entry.object_type_id = object_type.id         WHERE             check_entry.sheet_id = 2         ORDER BY             check_entry.order_no ASC|SELECT             check_entry.id,             check_entry.sheet_id,             check_entry.`name`,             check_entry.frequency,             check_entry.department,             check_entry.object_type_id,             check_entry.order_no,             object_type.`name` object_type_name         FROM             check_entry                 INNER JOIN object_type ON check_entry.object_type_id = object_type.id         WHERE             check_entry.sheet_id = 2         ORDER BY             check_entry.order_no ASC
1587711835914|2|statement|connection 2|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,name,order_no,remark  FROM check_sheet|SELECT  id,name,order_no,remark  FROM check_sheet
1587712093411|7|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,name,order_no,remark  FROM check_sheet|SELECT  id,name,order_no,remark  FROM check_sheet
1587712106990|4|statement|connection 2|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT             check_entry.id,             check_entry.sheet_id,             check_entry.`name`,             check_entry.frequency,             check_entry.department,             check_entry.object_type_id,             check_entry.order_no,             object_type.`name` object_type_name         FROM             check_entry                 INNER JOIN object_type ON check_entry.object_type_id = object_type.id         WHERE             check_entry.sheet_id = 2         ORDER BY             check_entry.order_no ASC|SELECT             check_entry.id,             check_entry.sheet_id,             check_entry.`name`,             check_entry.frequency,             check_entry.department,             check_entry.object_type_id,             check_entry.order_no,             object_type.`name` object_type_name         FROM             check_entry                 INNER JOIN object_type ON check_entry.object_type_id = object_type.id         WHERE             check_entry.sheet_id = 2         ORDER BY             check_entry.order_no ASC
1587713444880|16|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = ?|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = 4
1587713523386|1|statement|connection 3|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = ?|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = 4
1587713553292|0|statement|connection 4|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = ?|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = 4
1587713587803|24|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = ?|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = 4
1587713629224|0|statement|connection 3|url jdbc:mysql://127.0.0.1:3306/security?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = ?|SELECT  id,entry_id,name,attr_type,ext_info  FROM check_item     WHERE entryId = 4
